-0.524111f, -0.392878f, -0.931184f, 0.635294f, 0.635294f, 0.635294f, 
-0.522476f, -0.392882f, -0.931193f, 0.635294f, 0.635294f, 0.635294f, 
-0.520837f, -0.392883f, -0.931197f, 0.635294f, 0.635294f, 0.635294f, 
-0.519204f, -0.392889f, -0.931210f, 0.635294f, 0.635294f, 0.635294f, 
-0.517565f, -0.392890f, -0.931213f, 0.635294f, 0.635294f, 0.635294f, 
-0.515929f, -0.392893f, -0.931220f, 0.635294f, 0.635294f, 0.635294f, 
-0.514294f, -0.392897f, -0.931230f, 0.635294f, 0.635294f, 0.635294f, 
-0.512655f, -0.392899f, -0.931233f, 0.635294f, 0.635294f, 0.635294f, 
-0.511020f, -0.392903f, -0.931243f, 0.635294f, 0.635294f, 0.635294f, 
-0.509383f, -0.392906f, -0.931250f, 0.635294f, 0.635294f, 0.635294f, 
-0.507746f, -0.392909f, -0.931256f, 0.635294f, 0.635294f, 0.635294f, 
-0.506111f, -0.392913f, -0.931266f, 0.635294f, 0.635294f, 0.635294f, 
-0.504472f, -0.392914f, -0.931270f, 0.635294f, 0.635294f, 0.635294f, 
-0.502837f, -0.392918f, -0.931279f, 0.635294f, 0.635294f, 0.635294f, 
-0.501200f, -0.392921f, -0.931286f, 0.635294f, 0.635294f, 0.635294f, 
-0.499563f, -0.392924f, -0.931293f, 0.635294f, 0.635294f, 0.635294f, 
-0.497928f, -0.392928f, -0.931303f, 0.470588f, 0.470588f, 0.470588f, 
-0.496289f, -0.392929f, -0.931306f, 0.254902f, 0.254902f, 0.254902f, 
-0.494653f, -0.392934f, -0.931316f, 0.160784f, 0.160784f, 0.160784f, 
-0.493016f, -0.392936f, -0.931323f, 0.160784f, 0.160784f, 0.160784f, 
-0.491381f, -0.392941f, -0.931332f, 0.160784f, 0.160784f, 0.160784f, 
-0.489744f, -0.392943f, -0.931339f, 0.160784f, 0.160784f, 0.160784f, 
-0.488105f, -0.392945f, -0.931342f, 0.160784f, 0.160784f, 0.160784f, 
-0.486469f, -0.392949f, -0.931352f, 0.160784f, 0.160784f, 0.160784f, 
-0.484832f, -0.392952f, -0.931359f, 0.160784f, 0.160784f, 0.160784f, 
-0.483196f, -0.392956f, -0.931369f, 0.160784f, 0.160784f, 0.160784f, 
-0.481557f, -0.392957f, -0.931372f, 0.160784f, 0.160784f, 0.160784f, 
-0.479920f, -0.392960f, -0.931379f, 0.160784f, 0.160784f, 0.160784f, 
-0.478284f, -0.392964f, -0.931389f, 0.160784f, 0.160784f, 0.160784f, 
-0.476647f, -0.392967f, -0.931395f, 0.160784f, 0.160784f, 0.160784f, 
-0.475011f, -0.392971f, -0.931405f, 0.160784f, 0.160784f, 0.160784f, 
-0.473372f, -0.392973f, -0.931409f, 0.160784f, 0.160784f, 0.160784f, 
-0.471735f, -0.392976f, -0.931415f, 0.160784f, 0.160784f, 0.160784f, 
-0.470099f, -0.392980f, -0.931425f, 0.160784f, 0.160784f, 0.160784f, 
-0.468461f, -0.392983f, -0.931432f, 0.160784f, 0.160784f, 0.160784f, 
-0.466826f, -0.392987f, -0.931442f, 0.160784f, 0.160784f, 0.160784f, 
-0.465186f, -0.392988f, -0.931445f, 0.160784f, 0.160784f, 0.160784f, 
-0.463550f, -0.392992f, -0.931455f, 0.160784f, 0.160784f, 0.160784f, 
-0.461913f, -0.392995f, -0.931462f, 0.160784f, 0.160784f, 0.160784f, 
-0.460275f, -0.392998f, -0.931468f, 0.160784f, 0.160784f, 0.160784f, 
-0.458639f, -0.393002f, -0.931478f, 0.160784f, 0.160784f, 0.160784f, 
-0.457000f, -0.393004f, -0.931481f, 0.160784f, 0.160784f, 0.160784f, 
-0.455364f, -0.393008f, -0.931491f, 0.160784f, 0.160784f, 0.160784f, 
-0.453726f, -0.393010f, -0.931498f, 0.160784f, 0.160784f, 0.160784f, 
-0.452088f, -0.393013f, -0.931504f, 0.160784f, 0.160784f, 0.160784f, 
-0.450452f, -0.393017f, -0.931514f, 0.160784f, 0.160784f, 0.160784f, 
